Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,2025-10-01,718000,1853.0,387.5,5,01 to 05,Freehold,1.27948670070186,103.785756186651,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,<1M,<2k PSF
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,2025-10-01,1354200,3311.0,409.03,5,01 to 05,Freehold,1.27948670070186,103.785756186651,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,1-3M,2-4k PSF
KAMPONG GLAM CONSERVATION AREA,JALAN SULTAN,Shop House,2025-10-01,4750000,4936.0,962.3,7,-,99 yrs lease commencing from 2007,1.30432372775282,103.860299889987,117 JALAN SULTAN KAMPONG GLAM CONSERVATION AREA SINGAPORE 199007,3-10M,4-7k PSF
KAMPONG GLAM CONSERVATION AREA,NORTH BRIDGE ROAD,Shop House,2025-10-01,9900000,5507.0,1797.59,7,-,Freehold,1.30140177405083,103.858240245882,660 NORTH BRIDGE ROAD KAMPONG GLAM CONSERVATION AREA SINGAPORE 188797,3-10M,4-7k PSF
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,2025-10-01,1200000,3596.0,333.68,15,01 to 05,Freehold,1.3040973115095,103.901515916971,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,1-3M,2-4k PSF
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,2025-10-01,12000000,10478.0,1145.29,1,-,99 yrs lease commencing from 1995,1.28294764988431,103.84479495967,31B PAGODA STREET KRETA AYER CONSERVATION AREA SINGAPORE 059190,>10M,>7k PSF
LOFT @ NATHAN,RIVER VALLEY ROAD,Retail,2025-10-01,2100000,4537.0,462.85,10,01 to 05,Freehold,1.29446098581955,103.8276209036,428 RIVER VALLEY ROAD LOFT @ NATHAN SINGAPORE 248327,1-3M,4-7k PSF
ORCHARD PLAZA,ORCHARD ROAD,Retail,2025-10-01,945000,2744.0,344.45,9,01 to 05,99 yrs lease commencing from 1977,1.30502562565776,103.832957478209,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865,<1M,2-4k PSF
PAVILION SQUARE,GEYLANG ROAD,Retail,2025-10-01,150000,1072.0,139.93,14,B1 to B5,Freehold,1.31297800060859,103.879770800217,345 GEYLANG ROAD PAVILION SQUARE SINGAPORE 389366,<1M,<2k PSF
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,2025-10-01,1070000,4734.0,226.04,3,01 to 05,Freehold,1.28759518939869,103.803397287789,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,1-3M,4-7k PSF
SECOND AVENUE JUNCTION,BUKIT TIMAH ROAD,Retail,2025-10-01,2880000,3263.0,882.65,10,01 to 05,Freehold,1.32982544693334,103.799469913283,733 BUKIT TIMAH ROAD SECOND AVENUE JUNCTION SINGAPORE 269748,1-3M,2-4k PSF
SIGLAP V,FIRST STREET,Retail,2025-10-01,4300000,3329.0,1291.68,15,01 to 05,Freehold,1.31284706410149,103.923788580901,2 FIRST STREET SIGLAP V SINGAPORE 458278,3-10M,2-4k PSF
SIMON PLAZA,KOVAN ROAD,Retail,2025-10-01,2900000,2994.0,968.76,19,01 to 05,Freehold,1.3619760292092,103.884992801669,2 KOVAN ROAD SIMON PLAZA SINGAPORE 548008,1-3M,2-4k PSF
SULTAN PLAZA,JALAN SULTAN,Retail,2025-10-01,500000,1366.0,365.98,7,01 to 05,99 yrs lease commencing from 1978,1.30294528666428,103.861851786605,100 JALAN SULTAN GOLDEN SULTAN PLAZA SINGAPORE 199001,<1M,<2k PSF
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,2025-10-01,390000,3019.0,129.17,7,01 to 05,99 yrs lease commencing from 1997,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,<1M,2-4k PSF
THE CENTREPOINT,ORCHARD ROAD,Retail,2025-10-01,1380000,3287.0,419.8,9,01 to 05,99 yrs lease commencing from 1979,1.30200787412513,103.83977758311,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,1-3M,2-4k PSF
